Mois;Corneille noire;Geai des chênes;Grimpereau des jardins;Merle noir;Mésange bleue;Mésange charbonnière;Perruche à collier;Pie bavarde;Pigeon biset;Pigeon ramier;Rougegorge familier;Troglodyte mignon
janvier;22;4;3;22;16;22;18;15;1;37;14;5
fevrier;9;3;4;13;7;9;2;8;1;8;6;4
mars;25;2;7;24;16;12;16;15;17;24;9;10
avril;7;2;2;12;7;4;7;1;3;10;1;5
mai;7;1;5;24;4;2;9;5;8;9;11;7
juin;15;1;5;23;8;10;13;8;3;25;11;12
juillet;10;2;5;11;6;3;4;5;4;13;4;2
aout;21;1;2;17;10;5;2;4;7;14;10;5
septembre;15;1;5;10;11;8;12;6;2;32;12;5
octobre;6;1;1;4;4;3;4;2;1;34;6;1
novembre;19;6;4;16;6;7;9;3;11;20;16;4
decembre;5;1;1;3;5;3;3;3;5;6;2;1
